name,ppg,rpg,apg,fg_pct,three_pt_pct,spg,bpg,tov,freethrow_pct
Eric Gordon,13.1,2.1,2.9,.439,.347,0.6,0.4,1.8,.815
Eric Gordon,11.0,1.7,2.1,.463,.423,0.6,0.4,1.0,.842
Derrick White,12.4,3.6,3.9,.462,.381,0.7,0.9,1.2,.875
Keegan Murray,12.2,4.6,1.2,.453,.411,0.8,0.5,0.8,.765
Caris LeVert,12.1,3.8,3.9,.431,.392,1.0,0.3,1.6,.722
Jaden McDaniels,12.1,3.9,1.9,.517,.398,0.9,1.0,1.4,.736
Marvin Bagley III,12.0,6.4,0.9,.529,.288,0.5,0.7,1.1,.750
Clint Capela,12.0,11.0,0.9,.653,.000,0.7,1.2,0.8,.603
Mike Conley,10.7,2.5,7.7,.408,.362,1.0,0.2,1.7,.813
Mike Conley,14.0,3.1,5.0,.460,.420,1.2,0.2,1.2,.863
Bones Hyland,12.1,2.0,3.0,.399,.378,0.7,0.3,1.6,.866
Bones Hyland,10.8,3.5,3.4,.401,.351,0.8,0.1,1.1,.750
Lonnie Walker IV,11.7,1.9,1.1,.448,.365,0.5,0.3,0.8,.858
Zach Collins,11.6,6.4,2.9,.518,.374,0.6,0.8,2.0,.761
Bruce Brown,11.5,4.1,3.4,.483,.358,1.1,0.6,1.5,.758
Naz Reid,11.5,4.9,1.1,.537,.346,0.6,0.8,1.4,.677
Marcus Smart,11.5,3.1,6.3,.415,.336,1.5,0.4,2.3,.746
Max Strus,11.5,3.2,2.1,.410,.350,0.5,0.2,0.9,.876
John Wall,11.4,2.7,5.2,.408,.303,0.8,0.4,2.4,.681
Quentin Grimes,11.3,3.2,2.1,.468,.386,0.7,0.4,1.0,.796
Isaiah Stewart,11.3,8.1,1.4,.442,.327,0.4,0.7,1.4,.738
Rui Hachimura,13.0,4.3,1.2,.488,.337,0.4,0.4,1.2,.759
Rui Hachimura,9.6,4.7,0.7,.485,.296,0.2,0.4,0.5,.721
Kyle Lowry,11.2,4.1,5.1,.404,.345,1.0,0.4,1.9,.859
Marcus Morris,11.2,4.0,1.8,.426,.364,0.6,0.3,0.9,.782
Corey Kispert,11.1,2.8,1.2,.497,.424,0.4,0.1,0.7,.852
Jeremy Sochan,11.0,5.3,2.5,.453,.246,0.8,0.4,1.7,.698
Mason Plumlee,12.2,9.7,3.7,.669,,0.6,0.6,1.6,.605
Mason Plumlee,7.5,6.9,1.7,.727,,0.5,0.5,1.3,.772
Kentavious Caldwell-Pope,10.8,2.7,2.4,.462,.423,1.5,0.5,1.1,.824
Jaylen Nowell,10.8,2.6,2.0,.448,.289,0.6,0.1,1.0,.778
Ivica Zubac,10.8,9.9,1.0,.634,.000,0.4,1.3,1.5,.697
Talen Horton-Tucker,10.7,3.2,3.8,.419,.286,0.6,0.4,1.9,.750
Victor Oladipo,10.7,3.0,3.5,.397,.330,1.4,0.3,2.1,.747
Cam Thomas,10.6,1.7,1.4,.441,.383,0.4,0.1,1.1,.868
Nate Williams,10.6,3.0,2.0,.615,.375,0.6,0.4,0.8,.667
Moritz Wagner,10.5,4.5,1.5,.500,.313,0.6,0.2,1.2,.841
Grayson Allen,10.4,3.3,2.3,.440,.399,0.9,0.2,1.0,.905
Killian Hayes,10.3,2.9,6.2,.377,.280,1.4,0.4,2.3,.821
Tyus Jones,10.3,2.5,5.2,.438,.371,1.0,0.1,0.9,.800
Monte Morris,10.3,3.4,5.3,.480,.382,0.7,0.2,1.0,.831
Cameron Payne,10.3,2.2,4.5,.415,.368,0.7,0.2,1.7,.766
Reggie Jackson,10.9,2.2,3.5,.418,.350,0.7,0.1,1.8,.924
Reggie Jackson,7.9,1.8,3.1,.383,.279,0.6,0.1,1.2,.833
Malaki Branham,10.2,2.7,1.9,.440,.302,0.5,0.1,1.2,.829
Doug McDermott,10.2,2.2,1.4,.457,.413,0.2,0.1,0.9,.757
Patrick Williams,10.2,4.0,1.2,.464,.415,0.9,0.9,1.2,.857
Josh Richardson,11.5,2.8,3.3,.436,.357,1.0,0.3,1.5,.883
Josh Richardson,7.5,2.4,1.6,.419,.384,1.3,0.4,1.0,.762
