name,age,position,team
Jericho Sims,24,C,NYK
Anthony Gill,30,PF,WAS
Boban Marjanović,34,C,HOU
Raul Neto,30,PG,CLE
Peyton Watson,20,SG,DEN
Jared Rhoden,23,SG,DET
Max Christie,19,SG,LAL
Jordan Hall,21,SF,SAS
Richaun Holmes,29,C,SAC
Christian Koloko,22,C,TOR
Josh Minott,20,SF,MIN
Jamaree Bouyea,23,PG,MIA
Jamaree Bouyea,23,PG,WAS
Juan Toscano-Anderson,29,SF,LAL
Juan Toscano-Anderson,29,SF,UTA
Tyler Dorsey,26,SF,DAL
Usman Garuba,20,C,HOU
Jacob Gilyard,24,PG,MEM
Jake LaRavia,21,PF,MEM
Robin Lopez,34,C,CLE
Trevelin Queen,25,SG,IND
Terry Taylor,23,PF,IND
Terry Taylor,23,PF,CHI
Dru Smith,25,SG,MIA
Dru Smith,25,SG,BRK
Juancho Hernangómez,27,PF,TOR
Carlik Jones,25,PG,CHI
Frank Ntilikina,24,SG,DAL
Jason Preston,23,PG,LAC
Kessler Edwards,22,SF,BRK
Kessler Edwards,22,SF,SAC
James Johnson,35,PF,IND
Moussa Diabaté,21,C,LAC
Mamadi Diakite,26,C,CLE
Isaiah Mobley,23,PF,CLE
Jaden Springer,20,SG,PHI
Frank Kaminsky,29,C,ATL
Frank Kaminsky,29,C,HOU
Lester Quiñones,22,SG,GSW
Ish Smith,34,PG,DEN
John Butler,20,C,POR
Jeff Dowtin Jr.,25,PG,TOR
Theo Pinson,27,SG,DAL
Neemias Queta,23,C,SAC
Trent Forrest,24,SG,ATL
Scotty Pippen Jr.,22,PG,LAL
Justin Champagnie,21,SF,TOR
Justin Champagnie,21,SF,BOS
Khem Birch,30,C,TOR
Kennedy Chandler,20,PG,MEM
Ron Harper Jr.,22,PF,TOR
Dalen Terry,20,SG,CHI
Nerlens Noel,28,C,DET
Nerlens Noel,28,C,BRK
Davon Reed,27,SG,DEN
Davon Reed,27,SG,LAL
Andre Iguodala,39,PF,GSW
Chris Silva,26,PF,DAL
Garrett Temple,36,SG,NOP
Stanley Umude,23,SG,DET
Donovan Williams,21,SG,ATL
Vince Williams Jr.,22,SG,MEM
Ryan Rollins,20,PG,GSW
Greg Brown III,21,PF,POR
Trevor Hudgins,23,PG,HOU
Alize Johnson,26,PF,SAS
Xavier Moon,28,SG,LAC
Alex Len,29,C,SAC
Dylan Windler,26,SF,CLE
Buddy Boeheim,23,SF,DET
Tony Bradley,25,C,CHI
JD Davison,20,SG,BOS
Kendall Brown,19,SG,IND
Matthew Dellavedova,32,PG,SAC
Keon Ellis,23,SG,SAC
Mfiondu Kabengele,25,PF,BOS
Jordan Schakel,24,SF,WAS
Isaiah Todd,21,PF,WAS
Thanasis Antetokounmpo,30,PF,MIL
PJ Dozier,26,SF,SAC
Wendell Moore Jr.,21,SG,MIN
Ryan Arcidiacono,28,PG,NYK
Ryan Arcidiacono,28,PG,POR
Facundo Campazzo,31,PG,DAL
Braxton Key,25,SF,DET
Tyrese Martin,23,SG,ATL
KZ Okpala,23,PF,SAC
Cole Swider,23,SF,LAL
Vit Krejci,22,PG,ATL
Jack White,25,SF,DEN
Noah Vonleh,27,C,BOS
Malcolm Hill,27,SF,CHI
Trevor Keels,19,SG,NYK
Chima Moneke,27,SF,SAC
Kobi Simmons,25,SG,CHO
Joe Wieskamp,23,SF,TOR
Justin Jackson,27,SF,BOS
Marko Simonovic,23,C,CHI
Dereon Seabron,22,SG,NOP
Vernon Carey Jr.,21,C,WAS
Devon Dotson,23,PG,WAS
Leandro Bolmaro,22,SF,UTA
Sterling Brown,27,SF,LAL
Deonte Burton,29,PF,SAC
Michael Foster Jr.,20,PF,PHI
Frank Jackson,24,PG,UTA
Alondes Williams,23,SG,BRK
